"Id","RaceID","Course","Time","Dist","RaceDesc","Class","AgeLimit","Value","Going","Run","No","Draw","Form","Horse","Days","CDB","Age","Weight","Aid","Trainer","Jockey","Allow","OR","BR2","BR3","BRY","Odds","WtLbs"
55,6,"Ascot","16:10","2m 3f 58y","Betfair Racing Podcasts Novices' Hurdle (GBB Race)","2","5YO plus","13,008","Good to Soft","6","2",,"1-317","First Confession","49","CD","6","11-7","","J Tizzard","Brendan Powell",,"126","0","0","0","7/2","161"
56,6,"Ascot","16:10","2m 3f 58y","Betfair Racing Podcasts Novices' Hurdle (GBB Race)","2","5YO plus","13,008","Good to Soft","6","3",,"1/21-1P","Kingston Pride","71","D bf","6","11-7","","N J Henderson","N de Boinville",,"-","0","0","0","13/8","161"
57,6,"Ascot","16:10","2m 3f 58y","Betfair Racing Podcasts Novices' Hurdle (GBB Race)","2","5YO plus","13,008","Good to Soft","6","4",,"8-16P","Groovy Blue","48",,"6","11-2","","B Pauling","Ben Jones",,"-","0","0","0","16/1","156"
58,6,"Ascot","16:10","2m 3f 58y","Betfair Racing Podcasts Novices' Hurdle (GBB Race)","2","5YO plus","13,008","Good to Soft","6","5",,"42-33","Old Cowboy","14",,"5","11-2","","G & J Moore","David Noonan",,"-","0","0","0","6/1","156"
59,6,"Ascot","16:10","2m 3f 58y","Betfair Racing Podcasts Novices' Hurdle (GBB Race)","2","5YO plus","13,008","Good to Soft","6","6",,"1-1","Just A Rose (FR)","28","D","6","11-0","",,"Non Runner",,"-","0","0","0","-","154"
60,7,"Ascot","16:45","1m 7f 152y","Betfair Mares' Open NH Flat Race (GBB Race)","2","4YO to 6YO","8,986","Good to Soft","10","1",,"3-F41","Belle Le Grand","131","D","6","11-6","t","D Skelton","Harry Skelton",,"-","0","0","0","10/11","160"
61,7,"Ascot","16:45","1m 7f 152y","Betfair Mares' Open NH Flat Race (GBB Race)","2","4YO to 6YO","8,986","Good to Soft","10","2",,"1-1","Jackie Hobbs","73","D","5","11-6","","Harry Derham","H Cobden",,"-","0","0","0","6/4","160"
62,7,"Ascot","16:45","1m 7f 152y","Betfair Mares' Open NH Flat Race (GBB Race)","2","4YO to 6YO","8,986","Good to Soft","10","3",,,"Chanelle Noir",,,"5","11-2","t1","Ben Clarke","Miss Chloe Emsley",,"-","0","0","0","33/1","156"
63,7,"Ascot","16:45","1m 7f 152y","Betfair Mares' Open NH Flat Race (GBB Race)","2","4YO to 6YO","8,986","Good to Soft","10","4",,"0","Compromising","46",,"5","11-2","","L Wadham","Tom Cannon",,"-","0","0","0","66/1","156"
64,7,"Ascot","16:45","1m 7f 152y","Betfair Mares' Open NH Flat Race (GBB Race)","2","4YO to 6YO","8,986","Good to Soft","10","5",,,"Izakaya (GER)",,,"6","11-2","","Camilla Poulton","James Davies",,"-","0","0","0","50/1","156"
65,7,"Ascot","16:45","1m 7f 152y","Betfair Mares' Open NH Flat Race (GBB Race)","2","4YO to 6YO","8,986","Good to Soft","10","6",,"4","Just A Heartbeat","111",,"6","11-2","t","H Fry","Miss Megan Bevan",,"-","0","0","0","16/1","156"
66,7,"Ascot","16:45","1m 7f 152y","Betfair Mares' Open NH Flat Race (GBB Race)","2","4YO to 6YO","8,986","Good to Soft","10","7",,"7","Neon Madonna","30",,"5","11-2","","H Fry","Bryan Carver",,"-","0","0","0","12/1","156"
67,7,"Ascot","16:45","1m 7f 152y","Betfair Mares' Open NH Flat Race (GBB Race)","2","4YO to 6YO","8,986","Good to Soft","10","8",,,"Rue De Lota (FR)",,,"5","11-2","","Thomas Gallagher","J M Quinlan",,"-","0","0","0","50/1","156"
68,7,"Ascot","16:45","1m 7f 152y","Betfair Mares' Open NH Flat Race (GBB Race)","2","4YO to 6YO","8,986","Good to Soft","10","9",,"86","Sure To Please","11",,"5","11-2","","Evan Williams","Adam Wedge",,"-","0","0","0","25/1","156"
69,7,"Ascot","16:45","1m 7f 152y","Betfair Mares' Open NH Flat Race (GBB Race)","2","4YO to 6YO","8,986","Good to Soft","10","10",,,"Laffer Curve",,,"4","10-4","","T H Weston","Ben Jones",,"-","0","0","0","33/1","144"
70,8,"Haydock","12:55","3m 58y","Pertemps Network Handicap Hurdle (GBB Race)","2","5YO plus","16,338","Good to Soft","14","1",,"2222-31","Supremely West","56","CD","7","12-0","b","Dr R Newland & J Insole","Charlie Hammond",,"137","0","0","0","4/1","168"
71,8,"Haydock","12:55","3m 58y","Pertemps Network Handicap Hurdle (GBB Race)","2","5YO plus","16,338","Good to Soft","14","2",,"112123","Minella Sixo","51",,"6","12-0","","G Elliott","J C Gainford",,"137","0","0","0","11/2","168"
72,8,"Haydock","12:55","3m 58y","Pertemps Network Handicap Hurdle (GBB Race)","2","5YO plus","16,338","Good to Soft","14","3",,"7-3P231","Uncle Bert","28","CD","8","11-13","","N A Twiston-Davies","James Turner","5","136","0","0","0","7/1","167"
73,8,"Haydock","12:55","3m 58y","Pertemps Network Handicap Hurdle (GBB Race)","2","5YO plus","16,338","Good to Soft","14","4",,"121-0U7","My Trump Card","28",,"7","11-11","p1","G Elliott","C P Millar","5","134","0","0","0","12/1","165"
74,8,"Haydock","12:55","3m 58y","Pertemps Network Handicap Hurdle (GBB Race)","2","5YO plus","16,338","Good to Soft","14","5",,"13-7813","Jipcot (FR)","27",,"6","11-8","t","Jonjo & A J O'Neill","Kielan Woods",,"131","0","0","0","10/1","162"
