Races_ID,RaceTime,CardNo,HorseName,AgeWt,Trainer,Jockey,Or,FFigs,Draw,Days,Age,Aid,Allow,cdb
10,Haydock,6,Whistleinthedark,11-2,L Morgan,Harry Reed,120,9-98042,,7,10,p,,D   
11,Haydock,1,Botox Has (FR),11-8,G & J Moore,Caoilin Quinn,149,1P5-083,,21,9,b,,  CD 
11,Haydock,2,Nemean Lion (GER),11-8,Kerry Lee,R Patrick,151,167-211,,29,8,,,   
11,Haydock,3,Gwennie May Boy,11-6,D Skelton,C J Todd,139,111-F35,,27,7,,,D   bf
11,Haydock,4,Kerryhill,11-5,Ruth Jefferson,Kielan Woods,137,21/141-P,,84,7,,,D   
11,Haydock,5,Sounds Russian,11-4,Ruth Jefferson,B S Hughes,149,422B/51-,,297,10,,,D   
11,Haydock,6,Beauport,11-2,N A Twiston-Davies,Thomas Bellamy,154,2P1P-13,,56,9,,,   
11,Haydock,7,Indiana Dream (FR),11-2,Jonjo & A J O'Neill,R P McLernon,148,11/1-4,,27,7,t1,,   
11,Haydock,8,Thunder Rock,11-2,O Murphy,S Bowen,148,P21P-P4,,45,9,,,D   
12,Haydock,1,Royale Pagaille (FR),12-0,Miss V Williams,S Bowen,164,6F/1F-1P,,28,11,,, C  bf
12,Haydock,2,Fontaine Collonges (FR),10-11,Miss V Williams,Ned Fox,147,P/U19-1P,,50,10,,3, C  
12,Haydock,3,Yeah Man,10-8,G P Cromwell,S W Flanagan,144,F219-34,,23,8,p,,  CD bf
12,Haydock,4,Galia Des Liteaux (FR),10-4,D Skelton,Tristan Durrell,140,248-275,,50,9,p,3,   
12,Haydock,5,Apple Away,10-2,Miss Lucinda V Russell,D R Fox,138,351-422,,31,8,,,   
12,Haydock,6,Famous Bridge,10-2,N G Richards,Sean Quinlan,138,1PU4-23,,56,9,p1,, C  bf
12,Haydock,7,Where It All Began,10-2,G Elliott,J C Gainford,138,2148-P0,,23,9,b,,   
12,Haydock,8,Git Maker (FR),10-2,Jamie Snowden,G Sheehan,138,1/1623-0,,27,9,,,   
12,Haydock,9,Val Dancer,10-2,Mrs M Rowley,Charlie Hammond,138,1133-11,,50,8,p,,   
12,Haydock,10,Jubilee Express (FR),10-2,S Thomas,Dylan Johnston,138,7/4321-2,,50,8,p,3,  CD bf
13,Haydock,1,Derryhassen Paddy,11-5,Miss Lucinda V Russell,D R Fox,134,11-11,,29,6,t,,D   
13,Haydock,2,Battle Born Lad,11-2,M Walford,Jamie Hamilton,-,32-31,,126,6,,,   
13,Haydock,3,Bright Legend,11-2,D Hogan,Daniel King,127,0-93923,,34,5,,,   
13,Haydock,4,Gold Cup Bailly (FR),11-2,S R B Crawford,S W Flanagan,129,249/P-34,,44,9,t,,D   
13,Haydock,5,Grand Geste,11-2,Parkinson & Smith,Peter Kavanagh,110,P02334,,14,6,,,   
13,Haydock,6,Joecooker (FR),11-2,R Menzies,Danny McMenamin,120,P/41631,,66,6,,,   
13,Haydock,7,Kepler's Law,11-2,L Morgan,B S Hughes,128,1-331,,25,6,,,   
13,Haydock,8,Moon Rocket,11-2,K Bailey & M Nicholls,Thomas Bellamy,134,61-112,,21,5,,,D   
13,Haydock,9,Roaring Conquest,11-2,O Murphy,S Bowen,126,6-3141,,59,6,,,   
14,Haydock,1,Famous Clermont (FR),12-4,C R Barber,Mr James King,136,3127-12,,13,10,t,,  CD 
14,Haydock,2,Gracchus De Balme (FR),12-4,J J O'Shea,Mr Huw Edwards,129,123-061,,98,9,,5,   
14,Haydock,3,Hollow Games,12-4,G Elliott,Mr J H Williamson,142,P9U03-5,,27,9,t b,3,D   
14,Haydock,4,Jet Plane,12-4,D Skelton,Miss Heidi Palin,133,1P-3U71,,14,9,t,3,D   
14,Haydock,5,Take All,12-4,M Osborne,Mr Samuel Scott,130,868R21,,13,10,t h,7,   
14,Haydock,6,Irascible (FR),11-12,Miss Jackson-fennell,Miss Amber Jackson-Fennell,120,535-632,,14,10,t p,7,   
14,Haydock,7,My Drogo,11-12,Edward Walker,Mr William Biddick,145,F1/9P-31,,28,10,,,   
14,Haydock,8,Torngat (FR),11-12,T O M Greenwood,Mr Thomas Greenwood,95,123/P2-P,,27,9,,7,   
15,Newcastle,1,Swinging London,10-0,J Mackie,P Mulrennan,72,11-4133,(2),4,7,t p,, C  
15,Newcastle,2,Golden Flame,10-0,T Faulkner,J Fanning,72,25/097-7,(3),38,7,,,   
15,Newcastle,3,Weddell Sea,9-9,M E Sowersby,Cam Hardie,67,522525-,(6),67,7,t p,,   
15,Newcastle,4,Doublethetrouble,9-8,J Butler,Kaiya Fraser,66,112-462,(8),16,7,p,3,  CD 
15,Newcastle,5,Breathless Bishop,9-4,K Burke,Josephine Gordon,62,74/9,(5),26,5,,,   
15,Newcastle,6,Mafia Power,9-4,P Neville,S A Gray,62,85757/1-,(4),56,8,t,,  CD 
15,Newcastle,7,Man Of Action,9-3,Gary Rutherford,Rhys Elliott,61,40690-,(7),124 (45J),5,,7,   
15,Newcastle,8,Saxon Star,9-2,B Ellison,Ben Robinson,60,68-44,(1),11,5,p1,,   
16,Newcastle,1,Fast Fred,9-12,Phillip Makin,Rowan Scott,68,31113-4,(1),22,5,p,,  CD 
16,Newcastle,2,Ribba Hill,9-12,Grant Tuer,Harrison Shaw,70,144-7,(7),45,4,,,  CD 
16,Newcastle,3,Percy Willis,9-11,Jedd O'Keeffe,J Garritty,67,5-23384,(4),7,7,p,,  CD 
